,date_id,year,decade
0,1,1800,1800
1,2,1801,1800
2,3,1802,1800
3,4,1803,1800
4,5,1804,1800
5,6,1805,1800
6,7,1806,1800
7,8,1807,1800
8,9,1808,1800
9,10,1809,1800
10,11,1810,1810
11,12,1811,1810
12,13,1812,1810
13,14,1813,1810
14,15,1814,1810
15,16,1815,1810
16,17,1816,1810
17,18,1817,1810
18,19,1818,1810
19,20,1819,1810
20,21,1820,1820
21,22,1821,1820
22,23,1822,1820
23,24,1823,1820
24,25,1824,1820
25,26,1825,1820
26,27,1826,1820
27,28,1827,1820
28,29,1828,1820
29,30,1829,1820
30,31,1830,1830
31,32,1831,1830
32,33,1832,1830
33,34,1833,1830
34,35,1834,1830
35,36,1835,1830
36,37,1836,1830
37,38,1837,1830
38,39,1838,1830
39,40,1839,1830
40,41,1840,1840
41,42,1841,1840
42,43,1842,1840
43,44,1843,1840
44,45,1844,1840
45,46,1845,1840
46,47,1846,1840
47,48,1847,1840
48,49,1848,1840
49,50,1849,1840
50,51,1850,1850
51,52,1851,1850
52,53,1852,1850
53,54,1853,1850
54,55,1854,1850
55,56,1855,1850
56,57,1856,1850
57,58,1857,1850
58,59,1858,1850
59,60,1859,1850
60,61,1860,1860
61,62,1861,1860
62,63,1862,1860
63,64,1863,1860
64,65,1864,1860
65,66,1865,1860
66,67,1866,1860
67,68,1867,1860
68,69,1868,1860
69,70,1869,1860
70,71,1870,1870
71,72,1871,1870
72,73,1872,1870
73,74,1873,1870
74,75,1874,1870
75,76,1875,1870
76,77,1876,1870
77,78,1877,1870
78,79,1878,1870
79,80,1879,1870
80,81,1880,1880
81,82,1881,1880
82,83,1882,1880
83,84,1883,1880
84,85,1884,1880
85,86,1885,1880
86,87,1886,1880
87,88,1887,1880
88,89,1888,1880
89,90,1889,1880
90,91,1890,1890
91,92,1891,1890
92,93,1892,1890
93,94,1893,1890
94,95,1894,1890
95,96,1895,1890
96,97,1896,1890
97,98,1897,1890
98,99,1898,1890
99,100,1899,1890
100,101,1900,1900
101,102,1901,1900
102,103,1902,1900
103,104,1903,1900
104,105,1904,1900
105,106,1905,1900
106,107,1906,1900
107,108,1907,1900
108,109,1908,1900
109,110,1909,1900
110,111,1910,1910
111,112,1911,1910
112,113,1912,1910
113,114,1913,1910
114,115,1914,1910
115,116,1915,1910
116,117,1916,1910
117,118,1917,1910
118,119,1918,1910
119,120,1919,1910
120,121,1920,1920
121,122,1921,1920
122,123,1922,1920
123,124,1923,1920
124,125,1924,1920
125,126,1925,1920
126,127,1926,1920
127,128,1927,1920
128,129,1928,1920
129,130,1929,1920
130,131,1930,1930
131,132,1931,1930
132,133,1932,1930
133,134,1933,1930
134,135,1934,1930
135,136,1935,1930
136,137,1936,1930
137,138,1937,1930
138,139,1938,1930
139,140,1939,1930
140,141,1940,1940
141,142,1941,1940
142,143,1942,1940
143,144,1943,1940
144,145,1944,1940
145,146,1945,1940
146,147,1946,1940
147,148,1947,1940
148,149,1948,1940
149,150,1949,1940
150,151,1950,1950
151,152,1951,1950
152,153,1952,1950
153,154,1953,1950
154,155,1954,1950
155,156,1955,1950
156,157,1956,1950
157,158,1957,1950
158,159,1958,1950
159,160,1959,1950
160,161,1960,1960
161,162,1961,1960
162,163,1962,1960
163,164,1963,1960
164,165,1964,1960
165,166,1965,1960
166,167,1966,1960
167,168,1967,1960
168,169,1968,1960
169,170,1969,1960
170,171,1970,1970
171,172,1971,1970
172,173,1972,1970
173,174,1973,1970
174,175,1974,1970
175,176,1975,1970
176,177,1976,1970
177,178,1977,1970
178,179,1978,1970
179,180,1979,1970
180,181,1980,1980
181,182,1981,1980
182,183,1982,1980
183,184,1983,1980
184,185,1984,1980
185,186,1985,1980
186,187,1986,1980
187,188,1987,1980
188,189,1988,1980
189,190,1989,1980
190,191,1990,1990
191,192,1991,1990
192,193,1992,1990
193,194,1993,1990
194,195,1994,1990
195,196,1995,1990
196,197,1996,1990
197,198,1997,1990
198,199,1998,1990
199,200,1999,1990
200,201,2000,2000
201,202,2001,2000
202,203,2002,2000
203,204,2003,2000
204,205,2004,2000
205,206,2005,2000
206,207,2006,2000
207,208,2007,2000
208,209,2008,2000
209,210,2009,2000
210,211,2010,2010
211,212,2011,2010
212,213,2012,2010
213,214,2013,2010
214,215,2014,2010
215,216,2015,2010
216,217,2016,2010
217,218,2017,2010
218,219,2018,2010
219,220,2019,2010
220,221,2020,2020
221,222,2021,2020
222,223,2022,2020
223,224,2023,2020
224,225,2024,2020
225,226,2025,2020
226,227,2026,2020
227,228,2027,2020
228,229,2028,2020
229,230,2029,2020
230,231,2030,2030
231,232,2031,2030
232,233,2032,2030
233,234,2033,2030
234,235,2034,2030
235,236,2035,2030
236,237,2036,2030
237,238,2037,2030
238,239,2038,2030
239,240,2039,2030
240,241,2040,2040
